seed,cand_total,conflict_density,inter_block_conflicts,occupancy_pressure,footprint_pressure,truncation_risk,classical_feasible,hybrid_feasible,overlap_violations_classical,overlap_violations_hybrid,density_violations_classical,density_violations_hybrid,runtime_classical_ms,runtime_hybrid_ms,difficulty
101,150,0.42425,2941,0.0574,0.1732,True,True,True,0,0,0,0,85.83,51805.78,easy
111,150,0.43374,3047,0.0921,0.2415,True,True,True,0,0,0,0,50.09,52451.23,easy
202,150,0.40438,2719,0.0548,0.1227,True,True,True,0,0,0,0,41.2,48269.73,easy
222,150,0.56913,4560,0.0958,0.2222,True,False,False,15,1,0,0,51.11,66865.22,hard
303,150,0.44913,3219,0.0615,0.1471,True,True,True,0,0,0,0,45.94,54012.98,easy
333,150,0.37772,2421,0.0554,0.1754,True,True,True,0,0,0,0,44.41,45487.54,easy
404,150,0.49226,3701,0.0652,0.1235,True,True,True,0,0,0,0,46.99,58259.97,easy
515,150,0.36268,2253,0.0524,0.1754,True,True,True,0,0,0,0,39.3,43856.1,easy
606,150,0.42926,2997,0.0888,0.1925,True,True,True,0,0,0,0,39.76,52409.43,easy
717,150,0.37557,2397,0.0571,0.3114,True,True,True,0,0,0,0,79.47,44960.37,easy
828,150,0.36913,2325,0.0636,0.25,True,True,True,0,0,0,0,38.22,44248.61,easy
939,150,0.45253,3257,0.0694,0.2092,True,True,False,0,1,0,0,43.75,54183.23,moderate
1049,150,0.423,2927,0.0483,0.1684,True,True,True,0,0,0,0,40.75,50480.75,easy
1159,150,0.42112,2906,0.0526,0.225,True,True,True,0,0,0,0,39.9,50650.38,easy
1269,150,0.4655,3402,0.0626,0.2167,True,True,True,0,0,0,0,45.88,55977.66,easy
1379,150,0.49942,3781,0.0575,0.2216,True,True,False,0,3,0,0,48.23,59186.03,moderate
1489,150,0.57879,4668,0.0943,0.179,True,True,False,0,1,0,0,55.55,68724.66,moderate
1599,150,0.60483,4959,0.0909,0.2017,True,True,False,0,1,0,0,208.86,71496.11,moderate
1709,150,0.55105,4358,0.0832,0.2116,True,True,False,0,1,0,0,57.04,66978.88,moderate
1819,150,0.43248,3033,0.0701,0.25,True,True,True,0,0,0,0,62.92,52578.6,easy
1929,150,0.41002,2782,0.0574,0.1761,True,True,True,0,0,0,0,72.05,49312.55,easy
2039,150,0.4894,3669,0.0505,0.1674,True,True,False,0,1,0,0,48.85,58112.91,moderate
2149,150,0.46846,3435,0.0565,0.1429,True,True,True,0,0,0,0,53.11,56692.11,easy
2259,150,0.49414,3722,0.0962,0.2046,True,True,False,0,2,0,0,55.86,58682.52,moderate
